pilot_id,ACO-TMR,ACO-ATB,ACO-IAT,ACO-SCBI,ACO-TSV,ACO-IVF,ACO-ITS,ACO-RPR,ACO-SLG,ACO-SPC,_ADJUNCT_v1,_OOS,_TOTAL
asvs_v4_0_2,4,11,102,24,12,32,16,5,23,51,0,6,286
asvs_v5_0_0,5,41,125,0,0,62,27,0,13,16,0,154,443
capec_v3_9,0,10,130,66,2,120,76,10,0,118,0,27,559
cis_controls_v8_1_2,16,7,25,13,15,3,5,4,23,5,0,55,171
cwe_software_development_view_v4_19_1,0,25,51,1,0,38,10,1,4,13,0,257,400
enisa_multilayer_ai_cybersecurity_practices_2023,2,2,0,0,0,0,0,0,0,0,0,2,6
eu_cra,1,0,0,1,1,0,0,0,1,0,0,5,9
eu_dora,7,1,0,2,5,0,1,2,4,1,0,1,24
eu_nis2,1,1,0,0,1,0,0,0,1,0,0,0,4
eu_rgpd,1,0,0,0,1,0,0,0,1,3,0,0,6
hipaa_security_rule,4,0,4,2,1,1,0,0,2,1,0,7,22
mcp_official_security_foundations_2025,0,0,10,0,0,1,1,0,0,0,0,2,14
nist_sp800_53_rev5,27,155,177,138,50,24,91,46,104,57,0,327,1196
owasp_dsomm,1,0,0,4,5,0,0,2,2,0,1,4,19
owasp_mcp_secure_server_development_v1_0,0,1,1,1,1,1,0,0,1,1,0,4,11
owasp_mcp_third_party_servers_v1_0,0,0,1,2,0,2,2,0,0,0,0,2,9
owasp_mcp_top_10_v0_1_2025_beta,0,0,3,2,0,3,1,0,1,0,0,1,11
owasp_proactive_controls_2018,1,0,2,1,0,4,0,0,1,1,0,0,10
owasp_samm_v2_1,1,2,0,1,3,0,0,1,1,0,2,4,15
owasp_top_10_2021,0,1,2,2,0,1,1,1,1,1,0,0,10
pci_dss_v4_0_1,33,20,43,13,17,19,0,12,23,25,0,12,217
pci_sslc_v1_1,9,0,0,2,9,0,0,6,0,2,0,0,28
safecode_agile_2012,4,0,0,8,13,0,2,2,0,0,0,0,29
safecode_fpssd_2018,4,1,1,2,5,2,0,0,1,1,0,0,17
safecode_sic_2010,0,0,0,9,1,0,1,1,0,0,0,0,12
slsa_spec_v1_0_build_track,0,0,0,12,2,0,0,0,0,0,0,0,14
ssdf_sp800_218_v1_1,4,2,1,5,5,1,0,1,0,0,0,1,20
_COLUMN_TOTALS,125,280,678,311,149,314,234,94,207,296,3,—,3562
